Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
S190;Obere Drimbornstraße;Aachen;B;Stützwand / rechts;Stützwand als Massivwand;Stahlbeton-Stützwand;;94;Nein
S191;Münsterstraße;Niederforstbach;;Stützwand;Natursteinwand - statisch gesamtheitlich tragend;;;77;Ja
S192;Turmstraße;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;1971;16;Ja
S193;Weberstraße II;Aachen;;Stützwand / vorne;Stützwand als Massivwand;Mauerscheiben;2010;16;Ja
S194-G;Friedhof St.-Severin I;Eilendorf;;Stützwand;Stützwand als Massivwand;Stahlbeton mit Naturstein-Verblendung;;78;Nein
S195;Maria-Theresia-Allee;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;38;Nein
S196;Preusweg Nr.54;Aachen;;Stützwand / Haus Nr. 54;Stützwand als Massivwand;Stahlbeton-Stützwand;;6;Nein
S197;Preusweg Nr.56;Aachen;;Stützwand / Haus Nr. 56;Stützwand als Massivwand;Stahlbeton-Stützwand;;28;Nein
S198;Preusweg Nr.64;Aachen;;Stützwand / Haus Nr. 64;Stützwand als Massivwand;Stahlbeton-Stützwand;;45;Nein
S199;Preusweg Nr.66;Aachen;;Stützwand / Haus Nr. 66;Stützwand als Massivwand;Stahlbeton-Stützwand;;30;Nein
S200;Preusweg Nr.70;Aachen;;Stützwand / Haus Nr. 70;Stützwand als Massivwand;Stahlbeton-Stützwand;;17;Nein
S201;Preusweg (Nr.72);Aachen;;Stützwand / Haus Lutherweg 12;Stützwand als Massivwand;Stahlbeton-Stützwand und Gabionen;;37;Nein
S202;Preusweg Nr.80;Aachen;;Stützwand / Haus Nr. 80;Stützwand als Massivwand;Stahlbeton-Stützwand;;17;Nein
S203;Preusweg Nr.82;Aachen;;Stützwand / Haus Nr. 82;Stützwand als Massivwand;Stahlbeton-Stützwand;;15;Ja
S204;Preusweg Nr.96;Aachen;;Stützwand / Haus Nr. 96;Stützwand als Massivwand;Stahlbeton-Stützwand;;16;Ja
S205;Preusweg Nr.104;Aachen;;Stützwand / Haus Nr. 104;Stützwand als Massivwand;Stahlbeton-Stützwand;;10;Ja
S206;Preusweg Nr.138;Aachen;;Stützwand / Haus Nr. 138;Stützwand als Massivwand;Stahlbeton-Stützwand;;99;Nein
S207;Laurentiusstraße II;Laurensberg;;Stützwand;Stützwand als Spundwand;Stahlspundwand mit Stahlbeton-Kopfbalken;2020;69;Nein
S208-I;Am Bahnhof;Aachen, Kornelimünster;;Stützwand Am Bahnhof;Stützwand als Massivwand;2-schalig, Betonwand mit Natursteinmauer;;14;Ja
S209-G;Kaiser-Friedrich-Park;Aachen;A;Terrasse unten;Natursteinwand - statisch gesamtheitlich tragend;Natursteinwand mit Natursteinabdeckung;;120;Nein
S209-G;Kaiser-Friedrich-Park;Aachen;B;Terrasse Mitte;Natursteinwand - statisch gesamtheitlich tragend;Natursteinwand mit Natursteinabdeckung;;95;Nein
S209-G;Kaiser-Friedrich-Park;Aachen;C;Terrasse oben;Natursteinwand - statisch gesamtheitlich tragend;Natursteinwand mit Natursteinabdeckung;;108;Nein
S209-G;Kaiser-Friedrich-Park;Aachen;D;Terrasse am Ufer;Natursteinwand - statisch gesamtheitlich tragend;Natursteinwand mit Natursteinabdeckung;;107;Nein
S210;Nonnenhofstraße;Orsbach;;Stützwand;Stützwand als Massivwand;Stahlbeton-Winkelstützwand;2015;28;Ja
S211;Kirche St. Peter;Aachen;A;Stützwand / Baumeinfassung;Stützwand als Massivwand;Stahlbeton-Stützwand;;4;Ja
S211;Kirche St. Peter;Aachen;B;Stützwand / Bogen mit Bänke;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung;;18;Nein
S211;Kirche St. Peter;Aachen;C;Stützwand / Peterskirchhof vorne;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung;;71;Nein
S211;Kirche St. Peter;Aachen;D;Stützwand / Peterskirchhof hinten;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung;;85;Nein
S212-G;Stadtgarten XII;Aachen;;Stützwand / Stadtgarten XII - Hotel Royal;Stützwand als Massivwand;Kunststein-Stützwand;;26;Nein
S213;Abteitor;Burtscheid;;Stützwand;Stützwand als Massivwand;Stahlbeton-Pflanztröge;;13;Ja
S214;Grauenhofer Weg / an der A44;Aachen-Forst;;Grauenhofer Weg / an der A44;Stützwand als Massivwand;Winkelsteine;2016;31;Ja
S215;Vennbahntrasse Eisenbahnweg I;Aachen;;Vennbahnweg zw. AC Arkaden und Philipsstraße;Stützwand als Massivwand;Ziegelmauerwerk;;316;Ja
S216;Vennbahntrasse Eisenbahnweg II;Aachen;;Vennbahnweg zw. Philipsstraße u. Madrider Ring;Stützwand als Massivwand;Ziegelmauerwerk;;524;Nein
S217;Forckenbeckstraße I;Aachen - Melaten;;Stützwand;Stützwand als Massivwand;Stahlbeton-Mauerscheiben b=1,0m;2013;63;Nein
S218;Katschhof;Aachen;;Stützwand;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand mit Natursteinverblendung;;23;Ja
S219;Neuenhofer Weg;Aachen - Steppenberg;;Stützwand;Stützwand als Massivwand;Stahlbeton-Winkelsteine b=1,0m;2018;14;Ja
S220;Forkenbeckstraße II;Aachen - Melaten;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand (Treppenwange);2016;62;Nein
S221;Soldatengässchen;Burtscheid;;Stützwand / links;Stützwand als Massivwand;Stahlbeton-Stützwand;;27;
S223;Benno-Levy-Weg;Haaren;;Bewehrte Erde;Bewehrte Erde;Böschungssicherung, geokunststoffbewehrte Erde;2020;67;Ja
S224;Friedenstraße I;Haaren;;Stützwand;Stützbauwerk als Stützwand;Winkelstützwand aus Stahlbeton;2020;16;Nein
S225;Hexenberg;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;155;Nein
;;;;;;;;;
Gesamtanzahl der Bauwerke: 635;;;;;;;;;
