Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
A015;Turmstraße;Aachen;;Brücke;Hohlkastenbrücke;Zweifeld-Spannbeton-Hohlkasten;1971;1683;Nein
A016;Weberstraße;Aachen;;;Brücke als offener Rahmen;Einfeld-Fertigteilüberbau mit Ortbetonergänzung;2014;182;Nein
A017;Friedhof Hüls;Eilendorf;;Brücke;Plattenbalkenbrücke, Trägerrostbrücke;Einfeld-Fertigteilüberbau mit Ortbetonergänzung;2019;90;Nein
B001d;Pannesheider Straße;Horbach;;Durchlass;Rechteckdurchlass;Einfeld-Walzträger in Beton;;21;Ja
B002;Haus Heyden;Horbach;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr;1976;9;Nein
B003d;Stauanlage Kupferbach;Aachen;;Durchlass;Rechteckdurchlass;Geschlossener Fertigteilrahmen;2011;10;Ja
B004;Geuchter Weg;Horbach;;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;1984;12;Nein
B005;Bechheimer Bach I;Hahn;;Brücke / Hahner Straße;Plattenbrücke;Einfeld-Stahlbeton-Platte;;34;Nein
B006;Kornelimünsterweg I;Aachen;;Brücke;Plattenbrücke;Fünffeld-Stahlbeton-Platte;1989;277;Nein
B007;Im Grüntal;Aachen;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1980;7;Nein
B008;Eselsweg I;Aachen;;Holzbrücke;Balkenbrücke / Mittelträger / Trapezplatte;Einfeld-Holzbrücke;;5;Nein
B009d;Gemmenicher Weg II;Steppenberg;;Durchlass;Rohrdurchlass;Stahlbeton-Rohr DN 600;;5;Ja
B010d;Sebastianusweg I;Brand;;Durchlass / Abzweig Schiltsgasse;Rohrdurchlass;Stahlbeton-Rohr;;19;Ja
B011;Schilderweg;Eilendorf;;Brücke;Brücke als offener Rahmen;Einfeld-Stahlbeton-Rahmen;;10;Nein
B012;Schlackstraße;Eilendorf;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;2002;25;Nein
B013;Müselterweg;Eilendorf;;Brücke;Rahmenbrücke als Trog-Haube-Konstruktion;Fertigteil-Trog mit Deckenplatte;2011;17;Nein
B014-I;Schule Haarbachtalstraße;Haaren;;Brücke;Plattenbalkenbrücke, Trägerrostbrücke;Einfeld Stahlbetonbrücke;;73;Nein
B015;Auf dem Foerbrich;Eilendorf;;Brücke;Rohr als Brücke, mit Ummantelung;Wellstahlrohr, überschüttet, mit Stirnwänden;2011;42;Nein
B016;Birkstraße;Eilendorf;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;2002;15;Nein
B017;Hahnweg;Eilendorf;;Brücke;Bogenartige Brücke / Gewölbebrücke;Einfeld-Ziegelstein-Gewölbe;;7;Nein
B018;Herrenbergstraße;Eilendorf;;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Kastenprofil;1982;49;Nein
B019;Nirmer Platz;Eilendorf;;Brücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Stahlträger;;7;Nein
B020;Kalkbergstraße;Eilendorf;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1960;53;Nein
